"Code","NUTS2","NUTS2_Name","COUNTRY","LF_113- GDP","LF_113 - GDP/capita","LF_211 - Recreational opportunities potential","LF_311 - Water consumption","LF_312 - Water productivity","LF_321 - Food and feed production","LF_331 - Biomass harvested from energy crops","LF_332 - Energy content of dedicated energy crops","LF_411 - Share  of residential areas over the total land area","LF_412 - Residential areas per person","LF_413 - Urban Sprawl","LF_415 - Population density","LF_421 - Share of industrial/commercial areas","LF_422 - Industrial economic output per unit of industrial/commercial area","LF_431 - Share of built-up areas over the total land","LF_432 - Productivity of built-up areas","LF_433 - Built-up  per person","LF_441 - Potential accessibility","LF_442 - Network efficiency","LF_443 - Local accessibility (Travel time to nearest city)","LF_444 - Daily accessibility (Amount of people reached within 4 hours)","LF_511- NO2 removal by urban vegetation","LF_521 - Capacity of ecosystems to avoid soil erosion","LF_522 - Soil retention","LF_524 - Water Retention","LF_531 - Relative pollination potential","LF_532 - C-stock changes","LF_612a - Habitat quality for common birds","LF_612b - Habitat quality for forest birds","LF_612c - Habitat quality for farmland birds","LF_621 - Proportion of Green Infrastructure","LF_622 - Green Infrastructure fragmentation","Year","POPULATION"
"139","BG32","Severen tsentralen","Bulgaria",77.53,13.35,88.63,99.91,91.39,19.57,NA,NA,60.54,202.25,117.61,82.19,76.56,3.62,100.13,6.07,204.83,28.22,91.74,26.78,39.57,47.54,96.46,100.11,102.14,110.34,100,131.97,134.15,135.23,90.51,95.93,2010,915040
"143","BG33","Severoiztochen","Bulgaria",79.99,16.25,90.1,101.04,91.51,25,NA,NA,67.49,206.93,117.17,84.03,63.8,5.43,100.13,6.07,199.57,22.96,92.6,10.22,31.9,45.17,95.08,99.47,103.39,82.21,100,128.86,126.14,139.21,77.4,96.46,2010,984593
"147","BG34","Yugoiztochen","Bulgaria",81.33,16.46,110.65,103.29,90.31,16.3,NA,NA,43.81,160.45,113.67,80.36,51.04,5.17,77.47,7.59,163.45,21.16,92.6,23.5,27.48,57.5,96.78,100.06,90.6,123.32,100,109.26,120.05,111.06,109.65,94.11,2010,1114926
"151","BG41","Yugozapaden","Bulgaria",94.73,33.93,135.89,102.95,95.67,13.04,NA,NA,41.26,81.54,98.78,92.75,63.8,16.79,77.47,31.89,89.16,26.84,95.46,41.36,23.84,97.98,101.34,104.18,93.36,140.63,100,115.26,173.25,88.65,163.75,86.51,2010,2119545
"157","BG42","Yuzhen tsentralen","Bulgaria",82.67,13.86,136.77,101.04,92.57,19.57,NA,NA,37.72,113.98,109.07,84.03,38.28,6.98,61.4,10.63,113.39,23.91,93.13,37.55,23.31,71.01,98.69,102.61,90.85,134.14,100,113.44,132.55,107.63,141.7,84.36,2010,1528673
"797","HR","CROATIA (CNT)","Croatia",10.52,46.05,108.03,93.75,106.08,18.25,NA,NA,63.68,109.73,107.02,54.42,0,86.87,48.84,43.32,93.4,83.18,114.41,133.08,53.58,82.43,98.91,173.53,105.08,177.68,100,95.84,90.03,100.31,161.41,30.53,2010,6611320
"804","HR0","CROATIA","Croatia",96.74,44.46,110.5,97.83,100.41,22.83,NA,NA,42.54,122.46,109.62,85.41,15.95,63.68,69.43,35.68,105.62,54.15,99.58,101.38,34.52,86.79,97.9,105.75,103.02,212.03,100,99.73,94.21,103.33,187.57,96.55,2010,4290612
"810","HR03","Jadranska Hrvatska","Croatia",93.17,43.54,126.49,97.99,98.85,14.13,NA,NA,38.99,140.29,110.82,80.81,12.76,61.75,61.4,30.37,120.47,43.15,93.75,89.75,23.25,110.73,95.93,108.22,87.08,281.26,100,89.76,88.44,87.65,197.46,94.83,2010,1413328
"811","HR04","Kontinentalna Hrvatska","Croatia",100.32,45.38,94.5,97.66,101.96,31.52,NA,NA,46.08,104.63,108.41,90,19.14,65.62,77.47,41,90.76,65.15,105.42,113.02,45.8,62.85,99.86,103.27,118.95,142.79,100,109.69,99.97,119,177.69,98.28,2010,2877284
"165","CY","CYPRUS (CNT)","Cyprus",3.97,92.91,84.67,93.02,83.41,57.54,NA,NA,114.63,171.21,110.02,62.3,100,37.33,113.95,46.65,174.91,1.27,0,0,0.41,102.52,88.77,49.9,116.9,327.37,100,102.83,103.6,104.82,107.93,14.92,2010,8977982
